x,Video Title,Video Reference,Priority Script ,Verbal Hook,Text hook,Caption,Hashtags,Poll Topic,Date recorded,Script,Editing ,Video link,Approved ,With captions,Thumbnail link,Charlotte Socials,,,,View,Like,Comment,Post to socials,Date posted (Pie),Date posted (Char),SEG sales,Date posted (PodCast),Carousel,Carousel doc/ Story ,Figma image files,Carousel Posted,,Video key feedback,Date posted (Char),Date posted (Pie)
,,,,,,,,,,,,,FALSE,,,Charlotte Socials,PIE Socials,Tom,SEG ,,,,,,,,,FALSE,,,Charlotte Socials,PIE Socials,,,
Tax tip / how to,1. Top 5 Tax Deductions You’re Missing,V1,FALSE,Are you throwing away money?,Missing these 5 tax deductions?,Learn about the top 5 tax deductions you’re likely missing out on and save big on your next tax bill!,#TaxSavings #FinanceTips #UKTax #SelfAssessment #Money,Do you feel you’re missing tax deductions?,08/08/24,Scripts,,https://drive.google.com/file/d/1Wj9whAQu09KzfnAokz0EGdYEGWsKRS3w/view?usp=drivesdk,TRUE,Charlotte V1,V1 thumbnail,FALSE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1iAeqQz1GrQDuSV1vF5yANACJLIRkh2doTEFSmZxcN6A/edit?usp=drivesdk,11/20/2024,,FALSE,,TRUE,,,FALSE,FALSE,,,
Tax tip / how to,2. How to Avoid Common Tax Mistakes,V2,FALSE,Stop making these tax mistakes!,Avoid these common tax mistakes,Avoid the most common tax mistakes and keep more of your hard-earned money!,#TaxTips #Finance #UKTax #Business #Wealth,Have you made tax mistakes before?,09/08/24,Scripts,,https://drive.google.com/file/d/1zBIPkHzRqNtfxeWqxZ7OfeVP9uRtpjEC/view?usp=drivesdk,TRUE,Charlotte V2,V2 - thumbnail,TRUE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1Ir_CkJVY1l-5qhCjPR6qMvBcdHBS-HFpl6-AQO7RoiY/edit?usp=drivesdk,11/26/2024,11/21/2024,FALSE,,TRUE,https://docs.google.com/document/d/16ELHRhtYTg2Ro1YYnaUDqSn4PdlU-rG7ZobLad1Gh6c/edit?usp=drivesdk,V2 Carousel,TRUE,TRUE,,1/7/2025,12/4/2024
Tax tip / how to,3. Maximise Your Self-Assessment Refund,V3,FALSE,Want a bigger tax refund?,Maximise your tax refund now!,Maximise your self-assessment tax refund with these expert tips!,#TaxRefund #Finance #UKTax #SelfAssessment #Money,Are you expecting a tax refund?,09/08/24,Scripts,,https://drive.google.com/file/d/10qa6YgI8943Hug7qr6-HmEDB4ALfE1V0/view?usp=drivesdk,TRUE,V3 - captioned,V3 Thumbnail,TRUE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1-bExMDfhbLuE0LCICP71toQ85vmXbzCaTEu_TVPRTZs/edit?usp=drivesdk,11/28/2024,11/27/2024,FALSE,,TRUE,https://docs.google.com/document/d/1z_8eIwoZ3sxVj33HJvzdoLBljRZ7OMIELqywvkM_Xag/edit?usp=drivesdk,V3 Folder,TRUE,FALSE,,12/31/2024,
Tax tip / how to,4. Self-Employed? Save on Taxes!,V4,FALSE,Are you self-employed?,Save money if you're self-employed,Self-employed? Save on taxes with these essential tips!,#SelfEmployed #TaxSavings #UKTax #Finance #Business,Are you self-employed?,10/08/24,Scripts,,https://drive.google.com/file/d/1R0kTUUbzZxT33OknY5u1uf5CbciUOfqq/view?usp=drivesdk,TRUE,https://app.submagic.co/view/c2c5807c-3a19-4b6e-a09d-64dd2c24df1e,https://drive.google.com/file/d/1yLTt2_oKEB0N6BBKz1UhaUgd25lo7_ok/view?usp=drive_link,TRUE,FALSE,FALSE,FALSE,,,,,,1/2/2026,FALSE,,TRUE,https://docs.google.com/document/d/1JebN4MuDkNa-varJpb2S_qjsizsLihNJ_oeqjClbxqc/edit?usp=drivesdk,V4 Carousel Folder,FALSE,TRUE,,,12/10/2024
Tax tip / how to,5. Understanding Tax Codes,V5,FALSE,Confused by your tax code?,Decode your tax code easily!,Understand your tax code and avoid paying more than you should!,#TaxCode #UKTax #FinanceTips #Money #Business,Do you understand your tax code?,12/08/24,Scripts,,https://drive.google.com/file/d/1y6tfGBg8uYu03S-W0teAHBpQ-RTYC4lF/view?usp=drivesdk,TRUE,V5,V5,TRUE,FALSE,FALSE,FALSE,,,,,,12/6/2024,FALSE,,TRUE,https://docs.google.com/document/d/1YXJgM_Qi28mEH2oCJSyaDfa9X9cAhcnPrqqnniJBd-c/edit?usp=drivesdk,https://drive.google.com/drive/folders/1FzKA2s75AY2sZD6mlz1vhe1qGGnepcJU?usp=drive_link,FALSE,TRUE,,,12/17/2024
Tax tip / how to,6. Hidden Tax Reliefs for Landlords,V6,FALSE,Are you a landlord?,"Landlords, claim these tax reliefs!",Discover hidden tax reliefs for landlords and save on your taxes!,#Landlord #TaxRelief #UKTax #Property #Finance,Are you a landlord?,12/08/24,Scripts,,https://drive.google.com/file/d/1SxZCitg1sKmRaKi8x8p1Tnxayg-QKqKe/view?usp=drivesdk,TRUE,V6,V6,TRUE,FALSE,FALSE,FALSE,,,,,,12/3/2024,FALSE,,TRUE,https://docs.google.com/document/d/1sMq5CVvWOFGfnk91bYXlBmEKAcf1sLM3iGoGq-VTbK4/edit?usp=drivesdk,,FALSE,TRUE,,,12/24/2024
Tax tip / how to,7. Claiming Work-from-Home Expenses,V7,FALSE,Working from home?,Claim your home office expenses!,Claim your work-from-home expenses and reduce your tax bill!,#WorkFromHome #TaxSavings #UKTax #Finance #Business,Do you work from home?,12/08/24,Scripts,,https://drive.google.com/file/d/1HIJby0ZShoek1HfVbneHGnf_H3cRbtus/view?usp=drivesdk,TRUE,V7,V7,FALSE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1Kns1Pzw3B7P0W1o67A2tcBnglye_IVaaOd1ad1RkfQw/edit?usp=drivesdk,12/10/2024,,FALSE,,TRUE,https://docs.google.com/document/d/18gE2YLPvFknD_U_iqnOPoUMM1TCln0AXbQc2qzgSB_Q/edit?usp=drivesdk,V7 carousel,FALSE,TRUE,,,12/31/2024
Tax tip / how to,8. Tax Tips for Side Hustles,V8,FALSE,Have a side hustle?,Save money on your side hustle,Save on taxes with these side hustle tips!,#SideHustle #TaxTips #UKTax #Finance #Money,Do you have a side hustle?,15/08/24,Scripts,,https://drive.google.com/file/d/1sTDNuFpCSkqMP2DytbJWYJCS-ejfFx1s/view?usp=drivesdk,TRUE,V8,V8,TRUE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1FSQw5Q06mdR3bksv6hYfoXh51AzPjcozW2gb8LPUa_c/edit?usp=drivesdk,12/19/2024,12/11/2024,FALSE,,TRUE,https://docs.google.com/document/d/19jghTiNYRIyqmdJoT1RcopnLDCAASZw3ERLO6zPfnrc/edit?usp=sharing,Carousel V8,FALSE,TRUE,,,
Tax tip / how to,9. Tax Planning for Retirement,V9,FALSE,Planning for retirement?,Plan your taxes for retirement,Plan your taxes for retirement and secure your financial future!,#Retirement #TaxPlanning #UKTax #Finance #Wealth,Are you planning for retirement?,14/08/24,Scripts,,https://drive.google.com/file/d/1qtXSq1nE3UK0KHcqsYw72fxttSjUjUZt/view?usp=drivesdk,TRUE,V9,V9,TRUE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1VDvx61ook-ZJ3e-YBvZ3TDv80c26OCVDa_PdCU-Fw5U/edit?usp=drivesdk,12/26/2024,12/12/2024,FALSE,,TRUE,https://docs.google.com/document/d/1atoKT41vN-2G5COX0CocUv0S20Q4qs3wAkLTiECnUJQ/edit?usp=sharing,V9,FALSE,TRUE,,,2/19/2025
